Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Symbols,ibm,TSLA,FB,MSFT,AAPL,ibm,TSLA,FB,MSFT,AAPL,ibm,TSLA,FB,MSFT,AAPL,ibm,TSLA,FB,MSFT,AAPL,ibm,TSLA,FB,MSFT,AAPL,ibm,TSLA,FB,MSFT,AAPL
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,104.55705261230469,332.79998779296875,131.08999633789062,99.54019165039062,154.34027099609375,113.66999816894531,332.79998779296875,131.08999633789062,101.56999969482422,157.74000549316406,114.3499984741211,339.2099914550781,134.63999938964844,102.4000015258789,159.36000061035156,112.41999816894531,325.260009765625,129.9499969482422,100.44000244140625,156.47999572753906,113.33000183105469,337.7900085449219,134.4499969482422,101.29000091552734,158.52999877929688,4982800.0,6302300.0,24625300.0,33173800.0,35003500.0
2019-01-02,105.97358703613281,310.1199951171875,135.67999267578125,99.09918975830078,154.51638793945312,115.20999908447266,310.1199951171875,135.67999267578125,101.12000274658203,157.9199981689453,115.9800033569336,315.1300048828125,137.50999450683594,101.75,158.85000610351562,111.69000244140625,298.79998779296875,128.55999755859375,98.94000244140625,154.22999572753906,112.01000213623047,306.1000061035156,128.99000549316406,99.55000305175781,154.88999938964844,4239900.0,11658600.0,28146200.0,35329300.0,37039700.0
2019-01-03,103.85798645019531,300.3599853515625,131.74000549316406,95.45352935791016,139.1254119873047,112.91000366210938,300.3599853515625,131.74000549316406,97.4000015258789,142.19000244140625,114.87999725341797,309.3999938964844,137.1699981689453,100.19000244140625,145.72000122070312,112.69000244140625,297.3800048828125,131.1199951171875,97.19999694824219,142.0,114.52999877929688,307.0,134.69000244140625,100.0999984741211,143.97999572753906,4346700.0,6965200.0,22717900.0,42579100.0,91312200.0
2019-01-04,107.9144287109375,317.69000244140625,137.9499969482422,99.89300537109375,145.0645751953125,117.31999969482422,317.69000244140625,137.9499969482422,101.93000030517578,148.25999450683594,117.48999786376953,318.0,138.0,102.51000213623047,148.5500030517578,114.44000244140625,302.7300109863281,133.75,98.93000030517578,143.8000030517578,114.91000366210938,306.0,134.00999450683594,99.72000122070312,144.52999877929688,4477800.0,7394100.0,29002100.0,44060600.0,58607100.0
2019-01-07,108.67790222167969,334.9599914550781,138.0500030517578,100.02040100097656,144.74171447753906,118.1500015258789,334.9599914550781,138.0500030517578,102.05999755859375,147.92999267578125,118.83000183105469,336.739990234375,138.8699951171875,103.2699966430664,148.8300018310547,116.66999816894531,317.75,135.91000366210938,100.9800033569336,145.89999389648438,117.5,321.7200012207031,137.55999755859375,101.63999938964844,148.6999969482422,3751200.0,7551200.0,20089300.0,35656100.0,54777800.0
2019-01-08,110.22320556640625,335.3500061035156,142.52999877929688,100.74561309814453,147.50091552734375,119.83000183105469,335.3500061035156,142.52999877929688,102.80000305175781,150.75,120.56999969482422,344.010009765625,143.13999938964844,103.97000122070312,151.82000732421875,118.9800033569336,327.0199890136719,139.5399932861328,101.70999908447266,148.52000427246094,119.66000366210938,341.9599914550781,139.88999938964844,103.04000091552734,149.55999755859375,4763600.0,7008500.0,26263800.0,31514400.0,41025300.0
2019-01-09,111.01426696777344,338.5299987792969,144.22999572753906,102.18622589111328,150.0057373046875,120.69000244140625,338.5299987792969,144.22999572753906,104.2699966430664,153.30999755859375,121.4000015258789,343.5,144.6999969482422,104.87999725341797,154.52999877929688,119.87000274658203,331.4700012207031,141.27000427246094,103.23999786376953,149.6300048828125,120.91000366210938,335.5,142.9499969482422,103.86000061035156,151.2899932861328,3633700.0,5432900.0,22205900.0,32280800.0,45099100.0
2019-01-10,112.02608489990234,344.9700012207031,144.1999969482422,101.52963256835938,150.48519897460938,121.79000091552734,344.9700012207031,144.1999969482422,103.5999984741211,153.8000030517578,121.86000061035156,345.3900146484375,144.55999755859375,103.75,153.97000122070312,119.94999694824219,331.7900085449219,140.83999633789062,102.37999725341797,150.86000061035156,120.08000183105469,334.3999938964844,143.0800018310547,103.22000122070312,152.5,3910000.0,6056400.0,16125000.0,30067600.0,35780700.0
2019-01-11,111.72254180908203,347.260009765625,143.8000030517578,100.74561309814453,149.00772094726562,121.45999908447266,347.260009765625,143.8000030517578,102.80000305175781,152.2899932861328,121.62000274658203,348.4100036621094,145.36000061035156,103.44000244140625,153.6999969482422,120.19999694824219,338.7699890136719,142.57000732421875,101.63999938964844,151.50999450683594,121.58000183105469,342.0899963378906,143.14999389648438,103.19000244140625,152.8800048828125,3722400.0,5039100.0,12908000.0,28314200.0,27023200.0
2019-01-14,110.73831176757812,334.3999938964844,145.38999938964844,100.01060485839844,146.76708984375,120.38999938964844,334.3999938964844,145.38999938964844,102.05000305175781,150.0,120.6500015258789,342.5,146.57000732421875,102.87000274658203,151.27000427246094,119.76000213623047,334.0,141.27000427246094,101.26000213623047,149.22000122070312,120.51000213623047,342.3800048828125,142.0,101.9000015258789,150.85000610351562,5228700.0,5247300.0,20520300.0,28437100.0,32439200.0
2019-01-15,111.97089385986328,344.42999267578125,148.9499969482422,102.91145324707031,149.77093505859375,121.7300033569336,344.42999267578125,148.9499969482422,105.01000213623047,153.07000732421875,121.93000030517578,348.79998779296875,150.67999267578125,105.05000305175781,153.38999938964844,120.81999969482422,334.5,145.99000549316406,101.87999725341797,150.0500030517578,120.95999908447266,335.0,146.00999450683594,102.51000213623047,150.27000427246094,3507500.0,6056600.0,24069000.0,31587600.0,28710900.0
2019-01-16,111.86970520019531,346.04998779296875,147.5399932861328,103.27405548095703,151.6006317138672,121.62000274658203,346.04998779296875,147.5399932861328,105.37999725341797,154.94000244140625,122.0,352.0,149.64999389648438,106.26000213623047,155.8800048828125,120.83000183105469,343.5,147.0,104.95999908447266,153.0,121.58000183105469,344.7799987792969,149.0,105.26000213623047,153.0800018310547,3841100.0,4691700.0,18025700.0,29853900.0,30569700.0
2019-01-17,112.39401245117188,347.30999755859375,148.3000030517578,103.99927520751953,152.5007781982422,122.19000244140625,347.30999755859375,148.3000030517578,106.12000274658203,155.86000061035156,122.41000366210938,351.5,149.0,106.62999725341797,157.66000366210938,120.55000305175781,344.1499938964844,146.5,104.76000213623047,153.25999450683594,120.55999755859375,346.2099914550781,146.9499969482422,105.0,154.1999969482422,5029900.0,3676700.0,15787900.0,28393000.0,29821200.0
2019-01-18,113.89332580566406,302.260009765625,150.0399932861328,105.5574951171875,153.44009399414062,123.81999969482422,302.260009765625,150.0399932861328,107.70999908447266,156.82000732421875,124.72000122070312,327.1300048828125,152.42999267578125,107.9000015258789,157.8800048828125,122.70999908447266,299.7300109863281,148.5500030517578,105.91000366210938,155.97999572753906,123.2699966430664,323.0,149.75,107.45999908447266,157.5,6008500.0,24150800.0,31029600.0,37427600.0,33751000.0
2019-01-22,112.69754791259766,298.9200134277344,147.57000732421875,103.56806182861328,149.99595642089844,122.5199966430664,298.9200134277344,147.57000732421875,105.68000030517578,153.3000030517578,123.80000305175781,308.0,151.52999877929688,107.0999984741211,156.72999572753906,121.54000091552734,295.5,146.3699951171875,104.86000061035156,152.6199951171875,123.30000305175781,304.82000732421875,149.1999969482422,106.75,156.41000366210938,10052400.0,12066700.0,22378700.0,32371300.0,30394000.0
2019-01-23,122.23619079589844,287.5899963378906,144.3000030517578,104.57746887207031,150.60260009765625,132.88999938964844,287.5899963378906,144.3000030517578,106.70999908447266,153.9199981689453,135.0,294.5,148.8000030517578,107.04000091552734,155.13999938964844,130.30999755859375,281.69000244140625,143.05999755859375,105.33999633789062,151.6999969482422,131.3699951171875,292.5,148.27999877929688,106.12000274658203,154.14999389648438,22063700.0,12530000.0,20098400.0,25874300.0,23130600.0
2019-01-24,121.90504455566406,291.510009765625,145.8300018310547,104.07766723632812,149.40887451171875,132.52999877929688,291.510009765625,145.8300018310547,106.19999694824219,152.6999969482422,133.2100067138672,293.67999267578125,146.44000244140625,107.0,154.47999572753906,131.42999267578125,279.2799987792969,142.52000427246094,105.33999633789062,151.74000549316406,132.6300048828125,283.0299987792969,144.63999938964844,106.86000061035156,154.11000061035156,6322900.0,8012200.0,20955500.0,23164800.0,25441500.0
2019-01-25,123.22959899902344,297.0400085449219,149.00999450683594,105.02828216552734,154.35984802246094,133.97000122070312,297.0400085449219,149.00999450683594,107.16999816894531,157.75999450683594,134.44000244140625,298.5199890136719,149.8300018310547,107.87999725341797,158.1300048828125,132.42999267578125,289.54998779296875,146.5399932861328,106.19999694824219,154.32000732421875,132.8699951171875,294.3900146484375,147.47999572753906,107.23999786376953,155.47999572753906,5707400.0,7249600.0,22237200.0,31225600.0,33535500.0
